appid,release_year,Priece,user_score,meta_score
498830,2016,$0.54,89%,
498830,2016,$0.54,89%,
498850,2016,,,
498940,2016,$14.99,,
498990,2017,,74%,
499100,2016,$4.99,,
499110,2016,$4.99,,
499120,2016,$4.99,,
499140,2017,$4.99,,
499210,2017,$0.99,,
499230,2016,$14.99,62%,
499330,2016,$1.99,,
499340,2016,$1.49,92%,
499370,2016,$12.99,,
499390,2016,,,
499400,,$3.99,79%,
499420,2016,$0.99,45%,
499440,2016,$1.49,97%,
499460,2016,$1.99,84%,
499510,2018,$4.99,,
499520,2016,$2.99,87%,74%
499540,2016,,82%,
499560,,$1.19,,
499580,,$4.99,,
499610,2016,$1.99,66%,
499620,2016,$1.74,77%,
499660,,$7.99,77%,60%
499760,2016,$3.99,,
499890,2017,$2.24,83%,
499900,2013,$8.99,,
499910,2016,$7.49,92%,
499940,2016,$4.99,,
500090,2019,$4.39,,
500110,,$7.99,,
500120,2016,$0.99,,
500140,2016,$2.99,,
500150,2018,,70%,
500170,2017,$5.84,53%,
500180,2016,$3.99,,
500190,2016,$9.99,78%,
500190,2016,$9.99,78%,
500220,2016,$0.99,,
500260,,$4.49,87%,
500320,2016,$4.99,69%,
500340,2016,$0.51,,
500350,2020,$7.49,,
500360,2016,,76%,
500380,2016,,,
500420,2016,$8.99,79%,
500440,2017,$4.99,,
500470,2020,$9.99,,
500500,2016,$7.99,72%,
500550,2016,$2.99,,
500570,2016,$0.99,51%,
500580,2016,$0.49,81%,
500590,2016,$0.49,81%,
500660,2016,,,
500670,2017,$0.79,88%,
500680,2016,$11.99,,
500690,2016,,89%,
500710,2017,,60%,
500750,2016,,,
500760,2016,$0.99,,
500810,2001,$3.89,87%,81%
500870,2016,$6.99,79%,
500880,2016,$7.99,,
500920,2016,$9.99,,
500940,2016,$1.49,,
500980,2019,,,
501020,2019,$2.24,72%,
501030,2016,,,
501060,2016,$7.99,,
501080,2018,$12.49,78%,69%
501090,2015,$24.99,82%,
501110,2016,$2.99,69%,
501120,2016,,88%,
501180,2016,,82%,
501210,2019,$19.99,78%,
501220,,$1.19,63%,
501270,2017,$9.99,,
501280,2016,,,
501300,2017,$5.99,95%,89%
501310,,$9.99,,
501320,2017,$1.99,70%,69%
501350,2017,$0.99,80%,
501380,2016,,,
501410,2016,$0.74,,
501420,2016,$5.99,,
501430,2016,,75%,
501440,,$14.99,,
501450,2016,$9.99,,
501480,2016,$9.99,,
501500,2016,$0.59,,
501530,2017,$0.99,,
501590,2017,$3.99,88%,76%
501600,2017,,,
501610,2017,$39.99,,
501640,2016,,,
501740,2016,,,
501760,2016,$0.51,62%,
501790,2018,$11.99,89%,80%
501840,2016,$1.74,84%,
501850,2018,$2.99,,
501860,2016,$1.99,59%,
501870,2017,,,
501940,2016,$0.79,,
501950,,$3,71%,
501970,1996,$3.89,80%,
501990,1995,$6.49,86%,
502070,2016,$4.99,,
502090,2016,$0.54,38%,
502100,2016,$2.99,60%,
502120,2016,$5.59,,
502130,2018,,79%,
502140,2016,$0.99,50%,
502150,2016,$3.99,,
502200,2016,$2.09,,
502210,2016,$0.99,84%,
502230,2008,$0.99,92%,
502240,2016,$0.99,72%,
502280,2017,$23.99,80%,
502300,2016,$0.99,,
502320,2016,$10.04,80%,
502370,2017,$7.49,85%,69%
502380,2016,$4.99,,
502400,2016,$0.49,71%,
502410,2011,$2.24,31%,
502420,2012,$2.99,40%,
502440,2012,$2.99,,
502450,2016,$2.99,,
502460,2002,$1.99,,
502470,2021,$7.49,,
502480,2017,,,
502500,2019,$11.99,86%,
502520,,$7.49,89%,
502540,2017,$1.99,,
502550,2016,,73%,
502570,2018,,95%,
502650,2015,$1.49,,
502700,,$1.99,,
502710,2016,$7.99,62%,
502730,2017,$2.99,,
502740,,$1.24,89%,
502750,1989,$6.49,95%,
502770,2016,$0.89,76%,
502800,2017,$11.99,94%,71%
502810,2016,$2.99,,
502820,2017,$4.99,70%,
502880,2016,$0.59,23%,
502910,2016,$0.54,40%,
502920,2016,$9.99,,
502940,2016,$1.59,89%,
502990,2010,$3.99,,
503010,,$2.99,54%,
503050,2016,$3.49,,
503070,2016,$4.99,,
503080,2016,$4.99,,
503090,2016,$3.49,,
503100,2016,$9.99,75%,
503130,2016,$1.99,,
503130,2016,$1.99,,
503140,2016,$14.99,,
503150,2016,$0.74,,
503160,2016,,58%,
503180,2020,$7.49,84%,
503210,2016,$2.49,80%,
503240,2017,$0.99,58%,
503280,2017,$7.49,86%,
503290,2015,$5.99,,
503300,2016,,77%,
503340,2016,$11.99,90%,
503340,2016,$11.99,90%,
503350,,$2.49,79%,
503370,2016,$15.99,42%,
503400,2017,$2.71,95%,83%
503410,2016,,,
503450,2016,$2.49,53%,
503460,2016,$9.99,92%,
503460,2016,$9.99,92%,
503480,2016,$1.19,64%,
503490,,,,
503550,2017,$1.24,75%,
503560,2017,$2.99,89%,68%
503580,2017,$11.99,84%,
503620,2017,$2.49,77%,64%
503630,2016,,88%,
503650,2017,$2.49,94%,
503680,2016,$0.53,,
503690,,$9.99,,
503700,2016,$19.99,,
503710,2016,,,
503730,2016,$4.99,,
503750,2018,$14.99,,
503770,2016,$11.99,85%,
503780,2018,$4.99,,
503820,2016,$0.51,68%,
503830,2016,$0.51,57%,
503900,2016,$0.99,,
503940,2018,$8.99,82%,74%
503950,2016,,,
503960,2016,$2.99,,
503980,2016,$4.99,,
504000,2016,$1.99,90%,
504010,2016,$9.99,,
504050,2019,$9.99,66%,
504090,2017,$7.99,,
504100,2016,$2.49,,
504110,2018,$3.99,,
504130,2016,$1.99,82%,
504210,,$7.49,95%,
504230,2018,$4.99,97%,88%
504240,2016,$2.99,,
504260,2013,$2.99,,
504280,2016,$2.49,,
504300,2017,,75%,
504310,2016,,64%,
504370,2017,,84%,85%
504380,2016,$14.99,97%,
504390,2016,$9.09,91%,
504400,2016,$4.99,86%,
504410,2016,$9.74,,
504420,,$1.99,,
504430,2018,$4.99,53%,
504430,2018,$4.99,53%,
504450,2017,$0.79,,
504460,,$9.99,71%,
504470,2016,$12.99,,
504490,2016,$7.99,34%,
504500,2016,$3.99,,
504560,,$5.99,,
504610,2018,$6.99,,
504620,2019,,,
504630,2016,,,
504650,2017,,77%,
504660,2017,$4.99,,
504670,2016,,,
504690,2019,$6.59,82%,
504690,2019,$6.59,82%,
504700,2016,$6.29,,
504710,2016,$8.99,50%,
504720,2016,$11.99,48%,
504750,2016,$9.99,,
504770,2016,$0.57,90%,
504800,2016,$2.49,84%,
504810,2016,$0.99,66%,
504850,2016,$4.99,,
504880,2016,$0.49,74%,
504920,2018,$10.04,88%,71%
504980,2016,$0.79,25%,
504990,2017,,,
505020,2019,,,
505060,2017,$9.99,90%,
505070,2016,$4.79,,
505080,2017,$14.99,64%,
505090,2017,$14.99,61%,
505110,,$3.99,,
505120,2017,$0.99,,
505140,2016,$7.99,,
505170,2016,$4.24,77%,
505210,2016,$1.09,70%,
505220,,$7.99,,
505230,2019,$13.99,92%,
505270,2016,$0.99,,
505290,2017,$2.99,,
505330,2018,$1.39,70%,73%
505400,2016,$2.09,,
505460,2017,$22.49,83%,
505550,2016,$3.99,,
505630,2017,$1.99,87%,
505640,2017,$3.74,87%,81%
505660,2016,$1.99,,
505700,2016,,95%,
505730,2017,$0.99,67%,
505740,,$7.49,73%,53%
505750,2016,,65%,
506030,2016,,,
506140,2016,,67%,
506150,,$1.79,,
506160,2016,$3.99,,
506260,2017,$4.99,76%,
506280,2016,,,
506470,2016,$1.99,,
506500,,$3.39,76%,
506510,2017,$4.64,90%,78%
506540,2017,,61%,
506560,2018,,,
506570,2016,,,
506590,2016,$1.99,65%,
506610,2016,$7.99,91%,62%
506630,2016,,,
506670,2016,$0.49,73%,
506700,2018,$4.99,,
506730,,$0.51,55%,
506750,,$0.99,,
506760,2016,$0.54,,
506780,2016,$6.99,,
506830,2016,$4.99,,
506840,2016,$4.99,,
506870,,$4.99,88%,
506900,,$2.99,72%,77%
506930,2016,$4.99,,
506980,2017,$14.99,,
507010,2016,$2.49,79%,
507050,2016,$11.99,66%,
507080,2016,$11.99,,
507120,,$1.99,78%,
507140,2016,$3.49,,
507210,2016,,,
507270,2016,$6.99,,
507340,2016,$2.99,,
507360,2013,,,
507380,2016,$0.54,69%,
507390,2016,$0.54,63%,
507400,,$0.59,74%,
507440,2016,$0.99,,
507490,2016,$13.49,76%,81%
507520,2017,$3.99,79%,
508170,2016,$0.51,77%,
508180,2016,$1.09,61%,
508190,,$3.99,75%,
508200,2017,$0.59,,
508230,2016,$3.19,68%,
508250,2019,,,
508260,2016,$2.99,83%,
508290,2016,$0.99,46%,
508300,,$5.99,59%,
508330,2017,$3.99,,
508350,2016,$29.99,,
508390,2016,,75%,
508410,2018,$1.69,77%,
508440,,$6.79,97%,
508450,2016,$2.99,53%,
508530,2017,$9.99,68%,
508540,2016,$0.99,,
508550,2016,$7.49,75%,
508580,2016,$14.99,,
508600,2016,$0.99,79%,
508610,2016,$0.99,,
508630,2018,$0.53,,
508650,,$11.89,81%,
508660,2020,$4.99,,
508680,2016,$3.99,,
508690,2018,$29.99,,
508710,2021,$1.19,71%,
508730,2016,$0.49,,
508740,2016,$1.49,54%,63%
508760,2016,$0.53,62%,
508790,2016,$2.49,89%,
508820,2016,$0.51,66%,
508840,2016,$0.49,81%,
508890,2016,$0.99,,
508900,2018,$0.79,96%,
508910,2016,$4.99,,
508930,2016,$0.99,,
508940,2017,$6.99,,
508950,2016,$0.75,59%,
508980,2017,$2.99,88%,
508990,2016,$0.99,91%,
509020,2016,,,
509110,2016,$0.99,80%,
509130,2017,$3.49,,
509140,2016,,,
509160,2016,$4.99,,
509170,2016,$9.99,,
509190,2016,,55%,
509210,2016,$2.99,62%,
509220,2016,$1.19,90%,
509230,2016,$0.59,,
509250,2017,$9.99,86%,
509260,2017,$10.99,,
509290,2016,$0.99,,
509290,2016,$0.99,,
509340,2016,$5.99,,
509360,2016,$15.99,72%,
509380,2017,,,
509390,2016,$0.49,,
509400,2018,$1.74,,70%
509400,2018,$1.74,,70%
509420,2016,,75%,
509450,2016,$0.99,,
509510,,,,
509530,2017,,,
509560,2017,,69%,
509570,,$3.99,89%,
509580,,$9.99,74%,
509600,2016,$0.69,76%,
509610,2000,$1.49,,46%
509620,2017,$9.99,,
509770,,$2.79,59%,
509780,2017,$0.99,,
509800,2017,,59%,
509820,2016,$2.49,,
509830,2016,$1.95,,
509850,,$0.49,75%,
509860,2014,,74%,
509880,2017,,60%,
509910,2016,$4.99,,
509920,2017,$0.49,,
509920,2017,$0.49,,
509930,2016,$0.79,,
509960,2016,$0.99,45%,
509980,2017,$15.99,80%,
510000,2019,,76%,
510040,2016,$4.99,,
510050,2016,,89%,
510060,2016,$6.99,,
510070,2017,$0.99,,
510080,2016,$4.99,,
510110,2016,$0.51,,
510130,2016,,,
510180,2016,$7.99,,
510240,2017,$9.99,,
510280,2016,$2.99,,
510290,2016,$9.99,,
510320,2012,$7.49,,
510330,2016,,,
510360,2017,$1.99,,
510370,2020,,63%,
510380,2016,$9.99,,
510390,2018,$9.99,68%,48%
510410,2016,$2.99,,
510420,2018,$5.19,94%,81%
510490,2018,$3.39,81%,73%
510500,2018,$24.99,83%,
510510,2017,$49.99,64%,61%
510520,2017,$9.99,86%,
510540,2018,$11.24,94%,
510550,2016,$1.24,,
510570,2016,$1.24,61%,
510590,1995,$2.99,86%,
510620,2016,$0.99,84%,
510630,2016,,65%,
510660,2016,,67%,
510680,2018,$15.99,98%,
510700,2016,$2.49,,
510710,2016,$14.99,,
510730,2017,,,
510750,2016,,50%,
510780,2016,$3.99,,
510790,2016,,54%,
510830,2016,$4.99,,
510840,,$9.99,69%,
510850,2017,$14.99,67%,
510910,2016,$1.99,,
510930,2016,$2.99,78%,
510960,2016,$0.99,,
511010,,$4.99,,
511090,2016,$2.99,82%,
511120,2016,$2.99,,
511140,2016,$6.99,91%,
511160,2016,$3.99,72%,
511190,2016,$1.99,66%,
511230,2016,$7.99,,
511320,2016,$7.99,,
511330,2016,$0.51,,
511350,2016,$2.99,95%,
511360,2016,,,
511370,2017,,,
511380,2016,$2.99,,
511390,,$4.99,,
511420,2016,$0.99,,
511430,,$8.39,65%,
511440,2020,,68%,73%
511460,2016,$0.49,,
511470,2016,$1.49,97%,
511490,2016,$3.74,,
511540,,$19.99,75%,
511570,,$9.99,91%,
511600,2016,$4.99,,
511610,2016,$0.99,,
511630,2016,$4.99,82%,
511660,2002,$1.49,68%,46%
511680,2017,$19.99,91%,
511690,,$9.99,,
511720,2016,,45%,
511740,2016,$17.99,86%,
511760,2020,$4.99,,
511800,2017,,75%,
511810,2016,$7.99,,
511820,2016,$1.39,,
511830,2016,$0.99,,
511920,2017,$1.99,,
511960,2016,$1.39,,
512020,,$0.99,66%,
512060,2017,$9.99,93%,
512070,2018,$3.49,,
512080,2016,$6.99,71%,
512090,2016,$9.99,,
512110,,$3.99,,
512120,2017,$6.99,,
512150,2016,$0.99,,
512150,2016,$0.99,,
512160,2018,$0.99,69%,
512170,2016,$3.99,57%,
512180,2017,$20.99,97%,
512220,2019,$9.09,85%,
512230,2016,$0.79,88%,
512240,2016,$2.99,90%,
512250,2016,$0.59,91%,64%
512260,2016,$4.99,,
512270,2017,,72%,
512300,2016,$2.99,83%,68%
512370,2016,$4.99,,
512400,2016,$9.99,,
512410,,$0.79,,
512420,2016,$5.99,,
512430,2019,$2.99,40%,
512460,,$10.04,90%,
512470,2016,,81%,
512490,2017,$0.99,97%,
512550,2016,$0.49,67%,
512560,2016,,57%,
512600,2016,,79%,
512610,2016,,,
512640,2016,$0.99,40%,
512700,2016,$4.99,,
512740,2016,$0.51,90%,
512770,2016,$0.99,,
512790,2016,$4.99,92%,83%
512830,2016,$2.99,,
512890,2019,$9.99,96%,68%
512900,2019,$4.99,96%,
512920,2017,,,
513000,2016,,54%,
513060,2016,$9.99,,
513140,2016,,,
513150,2016,,,
513170,2016,,,
513190,2017,,70%,
513200,2016,,,
513210,2016,,76%,
513230,2016,$0.49,81%,
513240,2016,$5.99,,
513250,2019,$0.99,,
513260,2016,$4.99,,
513260,2016,$4.99,,
513270,,$10.99,,
513290,2018,$2.99,52%,
513300,2017,,,
513310,2017,$2.99,,
513320,2016,$0.99,38%,55%
513330,2017,$1.99,53%,
513340,2016,$0.49,85%,
513360,2016,$0.99,89%,
513360,2016,$0.99,89%,
513370,2016,$5.49,32%,
513420,2016,$2.09,62%,
513440,2016,,54%,
513450,2016,,89%,
513460,2016,$9.99,,
513480,2017,$4.49,86%,
513490,2018,,93%,
513510,2016,$0.59,87%,
513550,2017,$4.99,60%,
513560,2016,,72%,
513570,2016,$0.49,62%,
513580,2016,$5.99,,
513590,2016,$0.99,29%,
513600,2018,$0.56,,
513610,2016,$0.59,87%,
513620,2016,$0.54,62%,
513680,2016,,,
513690,2018,$19.99,57%,
513710,2018,$34.99,74%,
513720,2016,$0.99,,
513740,2016,$0.99,26%,
513760,2016,,,
513770,2016,$1.39,,
513780,2016,$0.99,78%,
513810,2016,$0.49,,
513820,2016,$4.99,,
513820,2016,$4.99,,
513840,2016,$1.49,,
513840,2016,$1.49,,
513860,2016,$3.99,,
513880,2016,$0.75,63%,
513890,2017,$4.99,91%,
513920,2016,$4.24,,
513930,2016,$0.49,32%,
513960,,$2.99,,
513980,2016,$0.49,80%,
513990,2016,$0.89,53%,
514010,2014,$11.99,,
514050,1998,$4.54,,
514080,2001,$6.49,,56%
514090,2016,$0.99,87%,
514130,2022,$9.99,,
514140,2006,$6.49,,46%
514150,2003,$5.99,73%,68%
514160,2003,$6.69,89%,
514170,2005,$6.69,73%,
514200,2016,$4.99,,
514220,2016,$7.99,,
514240,,$0.89,40%,
514290,,$3.99,46%,
514310,2016,$4.99,93%,62%
514340,2017,$3.99,91%,84%
514350,2016,$0.99,,
514360,2017,$0.51,,
514370,2016,$4.99,,
514390,2016,,72%,
514400,2016,$4.99,,
514410,,$1.99,38%,
514460,2017,$0.51,60%,
514470,2016,$0.49,55%,
514480,2016,$0.49,37%,
514490,2016,$0.49,40%,
514500,,$7.49,69%,
514510,,$9.99,,
514520,2016,$0.99,,
514530,,$11.99,,
514540,2017,,,
514550,2016,,,
514570,2016,$5.84,,
514580,2017,$0.49,88%,
514580,2017,$0.49,88%,
514620,2017,$1.99,94%,
514640,2016,$4.99,,
514650,2016,$2.99,,
514660,2016,$0.59,68%,
514670,2016,$9.99,64%,
514700,2016,$4.99,82%,
514720,2016,$4.99,,
514730,2016,$4.99,,
514740,2016,$4.99,,
514750,2016,$3.49,,
514760,2016,$4.99,,
514770,2016,$3.49,,
514780,2016,$4.99,,
514810,2017,$1.24,,
514820,2016,$4.99,,
514830,2018,$19.99,75%,
514870,2018,$9.99,,
514890,2016,$0.51,84%,
514900,2017,,79%,78%
514920,2018,$0.54,86%,
514930,2016,$0.59,,
514970,2016,,39%,
514990,,$0.99,61%,
515010,2017,$9.99,,
515020,2016,,90%,
515040,2016,$2.99,86%,
515060,2019,$15.99,,
515180,2018,$12.49,80%,67%
515200,2011,$0.99,,
515220,2017,,86%,89%
515230,2017,,,
515260,2017,$9.99,86%,
515470,2016,$0.99,44%,
515570,2016,$0.49,89%,
515650,2016,$3.84,91%,
515690,2016,$0.99,46%,
515740,,$0.53,,
515890,2017,$4.99,,
515900,2016,$2.99,,
515910,2016,$0.99,63%,
515960,2022,$23.99,80%,73%
515980,2017,,49%,
516010,2016,$4.99,,
516040,2016,$3.99,,
516110,2019,$2.24,90%,
516120,2016,$1.79,,
516130,2018,$13.99,75%,78%
516250,2016,$14.99,,
516410,2017,,,
516430,2017,$4.99,82%,
516440,1996,$2.79,,
516450,2016,,,
516460,2016,$5.99,,
516470,2016,,,
516480,2017,$0.59,97%,
516500,2016,$1.99,,
516510,2016,,70%,
516530,2016,$4.99,,
516550,2016,$1.99,,
516570,2018,$14.99,,
516590,2016,$19.99,73%,
516600,2017,$4.99,96%,
516610,2016,$9.99,,
516640,2017,$9.99,,
516650,2016,$2.99,,
516680,2016,$14.99,,
516740,2016,$9.99,,
516750,2016,$14.99,93%,
516790,2017,$0.99,,
516790,2017,$0.99,,
516810,2016,$0.99,,
516820,2019,$12.99,94%,
516840,2016,$3.99,94%,
516870,2016,$9.99,,
516900,2016,$3.99,,
516920,2016,$2.99,,
516940,2016,$1.99,,
516950,2016,$0.99,,
516960,2017,$0.99,,
517000,2016,$2.49,75%,
517010,2016,$0.99,47%,
517020,2016,,62%,
517060,2016,$4.99,,
517110,2017,,,
517130,2016,$15.99,88%,
517140,2016,$0.49,,
517160,,$14.99,81%,
517170,2016,,76%,
517190,2016,$1.99,,
517210,2018,,,
517220,,$9.99,,
517230,,$9.99,,
517240,2016,$2.99,,
517300,2016,$6.99,,
517320,2010,,91%,
517330,,$1.29,85%,
517340,2016,$9.99,,
517350,2016,$4.99,78%,
517360,2016,$1.99,66%,
517370,2016,$2.99,77%,
517400,2017,$2.69,,
517460,,$1.49,,
517480,2016,$3.99,,
517500,2017,$5.99,,
517510,2017,$1.99,,
517550,2016,,,
517620,2016,$3.99,,
517630,2018,$69.03,61%,68%
517660,2016,$1.99,,
517670,2016,$8.39,85%,
517670,2016,$8.39,85%,
517680,2016,,,
517680,2016,,,
517710,2016,$7.99,85%,81%
517720,2017,$24.99,66%,
517720,2017,$24.99,66%,
517770,2016,$0.99,,
517780,2017,$7.49,67%,66%
517790,1999,$3.89,91%,
517810,2006,$5.99,69%,74%
517860,2016,,,
517910,2014,,93%,
517990,2016,$14.99,,
518000,2016,$6.99,,
518030,2016,$4.99,85%,
518040,2016,$14.99,92%,
518060,2017,$5.19,75%,
518120,2016,$1.19,73%,
518130,2017,$6.99,,
518140,2016,$2.99,,
518150,2019,$9.99,90%,
518280,2016,$4.49,,
518320,2016,,,
518580,2016,,93%,
518610,2016,$3.99,,
518620,2016,$1.99,30%,
518650,2016,$0.89,90%,
518670,2016,$1.99,86%,
518680,2016,$1.99,,
518720,,$3.99,74%,
518730,2016,$0.51,92%,
518740,2016,$7.99,,
518790,2017,$4.79,87%,
518800,2016,$0.54,35%,
518920,2016,$4.99,46%,
519020,2016,$4.99,,
519030,2016,$2.99,66%,
519080,,$1.7,86%,
519140,2016,,71%,
519160,2016,$0.99,,
519170,2016,,,
519180,2016,$0.51,,
519190,2018,$9.99,63%,
519200,2016,$1.24,,
519490,2016,$3.74,,
519540,,$3.99,,
519550,,$1.99,,
519860,,$8.99,97%,88%
519870,2016,$0.49,86%,
519890,2017,$0.99,,
519940,2016,$3.99,,
519980,2018,$14.99,,
519990,2016,$3.99,,
520010,,$6.49,90%,
520040,2016,$4.99,,
520080,2017,$0.99,,
520150,2016,$2.99,,
520210,,$14.99,,
520230,2016,$4.99,,
520250,2016,$4.99,50%,
520270,2016,$2.99,67%,
520290,2016,$0.99,,
520300,2017,,,
520350,2016,$9.99,,
520370,2017,$3.49,,
520380,2017,$0.53,37%,
520440,2016,$5.99,93%,
520470,2016,$9.99,69%,
520510,,$2.09,,
520520,2016,$2.99,,
520520,2016,$2.99,,
520530,2016,,66%,
520610,2016,$4.89,79%,
520670,2018,$2.99,69%,63%
520680,2018,$9.99,,
520720,2017,$2.49,74%,
520750,,$14.99,,
520810,2016,$0.49,,
520820,2016,,,
520840,2016,$14.99,,
520850,2016,$5.99,89%,
520860,2017,,65%,
520910,2016,,92%,
520940,2018,$9.99,78%,
520950,,$11.99,74%,
520990,2016,$2.99,77%,
521000,2016,$2.99,,
521090,1997,$1.99,,34%
521100,,$0.54,55%,
521130,2016,$0.99,89%,
521140,2016,$14.99,,
521150,2020,$6.79,83%,
521200,2010,,96%,
521210,2016,$6.74,79%,
521230,2017,$0.99,67%,
521280,2012,$6.99,85%,
521300,2016,$6.99,,
521320,2013,,,
521330,2016,,74%,
521340,2016,,67%,
521350,2017,$2.99,88%,
521390,2021,$8.99,,
521420,2017,,,
521430,2016,$0.51,84%,
521450,2016,$0.99,57%,
521470,2015,,91%,
521500,2016,$2.49,78%,
521540,2016,$2.39,,
521560,2019,$6.49,,
521570,2016,,90%,
521580,2016,$2.99,69%,
521590,,$0.54,66%,
521620,,$9.74,85%,
521630,2016,$0.59,84%,
521650,2017,$12.99,,
521660,2017,$12.99,,
521670,2016,$12.99,,
521680,2017,$12.99,,
521690,2017,$12.99,,
521690,2017,$12.99,,
521700,2017,$19.99,,
521710,2017,$19.99,,
521720,2017,$12.99,,
521730,2017,$19.99,,
521740,2017,$19.99,,
521750,2017,$19.99,81%,
521760,2017,$12.99,,
521790,2017,$4.99,66%,
521790,2017,$4.99,66%,
521860,2016,$1.79,73%,
521880,2008,$3.99,85%,
521890,2017,$7.49,79%,38%
521920,,$0.99,89%,
521950,,$19.99,83%,
521980,2016,$0.49,46%,
521990,2016,$2.99,,
522000,2016,$4.99,,
522010,2016,$1.99,,
522020,,$9.99,80%,
522030,2016,,65%,
522040,2016,$4.99,91%,
522080,2017,$4.99,,
522090,2016,$4.99,37%,
522200,2016,$0.99,,
522210,,$2.99,86%,64%
522220,2017,$0.99,,
522230,2017,,73%,
522240,2018,$2.99,79%,
522250,,$0.99,,
522300,2017,$4.99,,
522340,2016,$0.49,96%,
522470,2017,$3.99,89%,
522490,2016,$2.99,96%,
522490,2016,$2.99,96%,
522530,2017,$4.99,,
522570,2016,$0.49,38%,
522590,,$0.99,,
522610,2016,$2.95,,
522660,2016,,38%,
522690,2016,$0.79,,
522700,2016,$4.99,,
522710,2016,$4.54,,
522740,,$2.99,,
522880,2017,$3.99,82%,
522890,2016,$0.87,,
522900,2017,$9.99,,
522940,2019,,87%,
522950,2017,$1.99,,
522960,2016,$9.99,,
522990,2016,,,
523000,2016,$9.99,93%,
523030,2016,$9.99,,
523050,2016,$19.99,,
523060,2016,$0.79,,
523060,2016,$0.79,,
523070,2021,,76%,
523080,2016,$5.99,,
523090,2016,$5.99,87%,
523110,2017,,59%,
523120,2017,,64%,
523130,2017,,,
523150,2016,$0.49,88%,
523160,2016,$4.99,79%,
523170,2016,,74%,
523180,2016,$2.99,,
523190,2016,,37%,
523210,2017,$0.98,88%,71%
523220,2016,$4.99,,
523410,,$6.49,,
523440,2016,$4.99,,
523550,2016,$9.99,,
523570,2016,$2.99,,
523600,2017,$29.99,76%,
523610,2017,$11.39,,
523640,2018,$6.99,39%,
523650,2018,$1.49,69%,50%
523660,2020,$16.99,90%,
523670,2016,$3.99,,
523680,2016,,,
523710,2016,$9.99,71%,
523720,2016,$4.99,,
523730,2016,$4.99,70%,
523740,2018,,69%,
523760,2016,$0.99,,
523770,2021,$7.49,79%,
523780,2017,$0.99,93%,81%
523810,2016,,74%,
523870,2017,$1.99,,
523880,2016,$0.99,,
523890,2020,$4.99,,
523900,2016,$0.49,,
523960,2017,,75%,
523970,2016,$9.99,,
524010,,$7.49,64%,
524030,2016,$0.49,66%,
524050,2016,$8.99,,
524060,,$4.99,,
524110,2016,,64%,
524120,2016,$0.99,,
524200,2017,$12.49,,
524220,2017,$39.99,84%,84%
524250,,$12.99,88%,
524350,2018,$0.99,,
524380,2016,,42%,
524390,2017,$8.99,66%,
524430,2018,$3.19,,
524520,2014,$1.97,76%,
524540,2015,$2.99,,
524580,2017,$7.99,84%,
524600,2016,$4.99,79%,
524610,2016,$0.49,,
524640,2017,$4.99,86%,
524650,2014,$9.99,,
524660,2016,$11.99,79%,
524690,2016,$6.99,,
524850,2016,$1.19,88%,
524910,2020,$3.99,94%,
524940,2016,$0.99,,
524970,2013,,52%,
525040,2017,$4.99,89%,
525080,2016,$7.49,,
525100,2017,,,
525150,2017,$4.99,80%,
525190,2016,$0.49,50%,
525210,2016,$9.99,,
525240,2018,$14.99,58%,
525300,2016,$0.51,61%,
525330,2016,$4.99,,
525350,2016,$0.99,,
525360,,$4.79,78%,
525370,2016,,76%,
525380,2017,$4.99,68%,
525420,2016,,,
525450,2016,$1.19,93%,
525460,2017,$0.49,,
525480,2017,$9.99,87%,69%
525500,2016,$5.99,,
525510,2018,$6.49,94%,80%
525530,2016,,,
525540,2016,,,
525590,2016,$1.99,,
525600,2016,$0.99,,
525610,2016,$2.49,54%,
525620,2018,$8.88,90%,82%
525640,,$9.99,88%,
525660,2016,$2.99,,
525680,2016,$10.49,91%,
525690,2017,$0.49,89%,
525700,2017,$4.99,60%,
525740,2016,,,
525760,2016,$7.99,,
525780,2016,,85%,
525860,2016,,,
525870,,$5.99,,
525910,2016,$0.69,,
525910,2016,$0.69,,
525920,2017,$1.49,72%,71%
525950,2016,$0.99,,
526090,2016,$0.99,,
526130,2020,$8.99,,
526160,,$6.24,70%,
526180,2017,,50%,
526240,2016,$6.99,,
526290,,$0.79,59%,
526310,2016,,,
526400,2016,,82%,
526430,2016,,72%,
526440,2017,,,
526450,2017,$0.5,,
526470,2016,,,
526510,2016,$2.99,,
526540,2016,$0.51,69%,
526550,2016,$14.99,,
526590,2016,$4.99,,
526730,2017,,,
526740,,$0.79,60%,
526750,2016,$3.99,32%,
526780,2016,$1.99,,
526790,2016,$0.49,61%,
526800,2016,$5.99,92%,
526870,2020,$17.99,97%,
526880,2016,$1.49,47%,
526890,2011,$4.99,,
526920,2017,,67%,
526960,2016,$9.99,,
526980,2016,$0.99,64%,
527100,2017,$9.99,76%,
527110,2017,$4.99,,
527150,2018,$0.99,93%,
527160,2016,$9.99,61%,
527190,2016,$6.49,94%,
527210,2016,$2.99,,
527230,,$5.99,88%,79%
527240,2017,,54%,
527250,2016,$4.99,,
527270,2017,,87%,73%
527280,2017,$29.99,69%,
527280,2017,$29.99,69%,
527290,2017,$9.29,83%,
527300,2016,$3.99,,
527310,,$2.99,,
527320,,$4.99,,
527330,2016,$7.99,,
527340,2016,$2.49,79%,
527350,2016,$4.99,,
527360,2016,$6.99,,
527380,,$6.99,,
