appid,release_year,Priece,user_score,meta_score
6210,2006,$0.74,74%,
6220,2007,$1.12,92%,72%
6250,2007,$0.99,80%,70%
6270,2007,$0.99,44%,35%
6300,2007,$7.99,84%,75%
6310,2007,$3.99,90%,91%
6370,2011,,85%,79%
6400,2006,$2.71,88%,68%
6420,2004,$0.99,84%,77%
6510,2007,$2.99,80%,66%
6550,2006,$19.99,59%,66%
6600,2007,$3.99,52%,
6800,1998,$2.49,89%,
6810,1999,$2.49,87%,
6830,2002,$2.09,85%,87%
6840,2003,$2.49,63%,72%
6850,2002,$1.79,84%,87%
6860,2006,$1.99,94%,82%
6870,2007,$0.97,77%,76%
6880,2006,$0.97,66%,75%
6900,2007,$1.59,72%,73%
6910,2000,$0.97,94%,90%
6920,2004,$0.97,57%,80%
6980,2004,$0.98,82%,85%
7000,2006,$0.97,88%,82%
7010,2007,$0.89,75%,76%
7020,2006,$2.49,93%,69%
7110,2007,$3.74,74%,81%
7200,2008,$14.99,94%,80%
7210,2003,$1.49,75%,74%
7220,2007,$0.99,53%,
7260,2007,$9.99,61%,61%
7340,2008,$4.99,,
7510,2009,$2.49,61%,54%
7520,2011,$4.99,61%,75%
7530,2011,$1.99,50%,
7600,2006,$2.49,70%,77%
7610,2003,$2.49,76%,80%
7620,2007,$1.24,88%,89%
7650,1995,$1.24,91%,
7660,1997,$1.24,88%,
7670,2007,$3.99,94%,96%
7730,1998,$1.24,51%,
7760,1993,$1.24,94%,
7770,2008,$1.24,53%,65%
7800,2005,$6.79,87%,72%
7830,2009,$0.99,89%,80%
7840,2009,$0.59,57%,53%
7860,2009,$0.99,68%,63%
7940,2007,$9.99,93%,92%
8000,2007,$0.98,82%,83%
8080,2007,,63%,67%
8100,2008,$0.89,52%,58%
8140,2008,$0.98,76%,80%
8170,2009,,70%,74%
8190,2010,$1.49,90%,84%
8200,2006,,89%,
8210,2006,,90%,
8220,2007,,86%,
8220,2007,,86%,
8230,2007,,84%,
8240,2007,,90%,
8250,2007,,90%,
8260,2007,,88%,82%
8270,2008,,82%,80%
8280,2008,,89%,79%
8290,2008,,90%,85%
8300,2008,,86%,
8310,2005,,52%,68%
8320,2006,,61%,76%
8330,2005,$0.49,52%,
8340,2008,$4.49,91%,82%
8350,1994,$4.49,,
8360,1994,$4.49,,
8370,1993,$4.49,,
8380,1994,$4.49,,
8400,2007,$1.99,90%,76%
8500,2003,,74%,88%
8600,2007,$3.99,84%,83%
8640,2009,$7.99,,
8790,2012,$3.99,92%,
8800,2007,$5.99,96%,86%
8850,2010,$3.99,89%,88%
8870,2013,$7.49,95%,94%
8880,2009,$1.24,54%,90%
8890,2009,$1.24,84%,
8930,2010,$29.99,96%,90%
8970,2010,$1.24,74%,
8980,,$9.89,90%,81%
9000,2007,$0.98,85%,
9010,2007,$1.49,93%,88%
9030,2007,,91%,
9040,1997,,93%,
9050,2007,$1.24,89%,87%
9060,2007,$1.49,82%,
9160,2007,$3.74,76%,
9180,2007,$1.49,93%,
9200,2011,$3.99,76%,79%
9310,2007,$3.24,89%,
9340,2007,$3.99,91%,87%
9350,2011,$2.59,88%,86%
9420,2011,$2.59,96%,81%
9450,2008,$3.24,95%,
9460,2008,$4.99,65%,73%
9480,2009,$2.49,77%,72%
9500,2007,$9.99,58%,80%
9710,2008,$2.49,45%,66%
9760,2008,$1.19,80%,74%
9800,2008,$0.99,74%,69%
9850,2009,$3.74,65%,
9880,2009,,71%,72%
9900,2010,,78%,66%
9940,2014,$1.01,82%,52%
9960,2010,$2.99,,
9970,2011,$4.99,,
9980,2010,$1.74,65%,67%
10090,2008,$14.99,91%,83%
10100,2006,$9.99,84%,
10110,2009,$6.59,83%,
10130,2009,$9.99,79%,71%
10140,2009,$3.29,63%,
10150,2009,$4.99,80%,79%
10180,2009,$14.99,93%,86%
10220,2012,$2.39,37%,24%
10230,2009,$1.59,34%,
10240,2011,$1.39,,
10250,2011,$1.39,,
10260,2011,$1.39,,
10270,2014,$4.99,71%,
10460,2008,$3.74,56%,67%
10500,2009,$6.24,90%,90%
10520,2008,,,
10680,2010,$2.99,90%,68%
11020,2008,,89%,
11040,2008,$1.99,73%,71%
11050,2008,$1.99,67%,70%
11130,2008,,29%,61%
11140,2009,$1.99,72%,72%
11150,2009,$1.99,60%,68%
11180,,$1.99,34%,
11190,2009,$1.99,78%,73%
11200,2007,$1.49,59%,79%
11230,2008,$1.49,70%,
11240,2008,$0.99,49%,
11250,2008,$0.79,,67%
11260,2008,$0.79,59%,60%
11280,2008,$0.59,89%,
11330,2009,,81%,
11340,2009,$0.98,75%,64%
11360,2009,$0.98,74%,
11370,2009,$0.99,54%,68%
11390,2009,$0.99,56%,
11450,2009,$1.24,93%,81%
11480,2014,$0.99,85%,77%
11550,2005,$4.99,84%,73%
11560,2009,$0.99,61%,58%
11590,2009,$1.24,40%,51%
11610,2012,,73%,
11920,2008,,,
12100,2002,,86%,93%
12110,2003,,92%,94%
12120,2005,,91%,93%
12130,2004,$3.49,68%,75%
12140,2001,$3.49,89%,89%
12150,2008,$4.49,94%,86%
12160,2003,,86%,81%
12170,1998,,84%,
12180,1999,,92%,
12200,2008,$4.49,84%,72%
12210,2020,$5.99,77%,90%
12220,2010,,73%,
