,appid,name,developer,publisher,positive,negative,average_playtime_from_2009,initialprice,languages,genre,release_year,Korean,indie,discount,positive_ratio,price_group
2555,286140,Eidolon,"Badru, Michael Bell, Zoe Vartanian, Adam Murgittroyd, Meagan Malone, Jeffrey Klinicke, Shadie Hijazi, Jacob Leach, Aron Miller, Isa Hutchinson",Ice Water Games,239,160,0.0,17715,English,Adventure,2014,0,1,0,0.5989974937343359,만원~2만원
2556,286200,ReignMaker,Frogdice,Frogdice,198,115,4.0,17703,English,Adventure,2014,0,1,0,0.6325878594249201,만원~2만원
2557,286220,Pier Solar and the Great Architects,WaterMelon,WaterMelon,65,50,1.0,17703,"English, French, German, Spanish - Spain, Japanese, Portuguese - Brazil",RPG,2014,0,0,0,0.5652173913043478,만원~2만원
2558,286260,fault - milestone one,ALICE IN DISSONANCE,ALICE IN DISSONANCE,2867,208,6.0,17703,"English, Japanese, Simplified Chinese, Russian, German, Spanish - Spain, Korean, Italian, Portuguese - Brazil, Spanish - Latin America",Adventure,2014,1,0,0,0.9323577235772358,만원~2만원
2559,286280,Steel Armor: Blaze of War,Graviteam,Graviteam,221,45,0.0,35418,"English, Russian",Simulation,2015,0,0,0,0.8308270676691729,3만원~4만원
2561,286320,Oknytt,Nemoria Entertainment,Nemoria Entertainment,468,39,9.0,5893,"English, German, Russian, Spanish - Spain",Adventure,2014,0,1,0,0.9230769230769231,만원이하
2562,286340,FarSky,Farsky Interactive,Farsky Interactive,2782,1014,2.0,5893,English,Adventure,2014,0,1,0,0.7328767123287672,만원이하
2563,286360,Shadows on the Vatican Act I: Greed,"10th Art Studio, Daring Touch","Adventure Productions, Daring Touch",514,183,4.0,8255,"English, Italian, French, German, Spanish - Spain, Russian, Polish",Adventure,2014,0,1,0,0.7374461979913917,만원이하
2564,286380,Strata,Graveck,GLITCH,304,41,0.0,9436,"English, French, German, Dutch, Japanese, Korean, Russian, Simplified Chinese",Casual,2014,1,1,0,0.881159420289855,만원이하
2565,286460,Black Mirror II,Cranberry Production,THQ Nordic,413,46,17.0,11798,"English, French, Italian, German, Spanish - Spain, Czech, Polish, Russian",Adventure,2014,0,0,0,0.8997821350762527,만원~2만원
2566,286480,Black Mirror III,Cranberry Production,THQ Nordic,316,36,15.0,11798,"English, French, Italian, German, Spanish - Spain, Czech, Polish, Russian",Adventure,2014,0,0,0,0.8977272727272727,만원~2만원
2567,286520,Viking Brothers,"Alawar, Whalebox Studio",Viva  Media Inc,28,13,0.0,11798,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Portuguese, Russian, Swedish",Action,2014,1,0,0,0.6829268292682927,만원~2만원
